Book Id,Title,Author,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count
59364173,I'm Glad My Mom Died,Jennette McCurdy,4,4.58,Simon & Schuster,320,2022,2022,17/01/2023,14/01/2023,read,1
61190,The Evolution of Useful Things: How Everyday Artifacts-From Forks and Pins to Paper Clips and Zippers-Came to be as They are.,Henry Petroski,0,3.54,Vintage,288,1994,1994,,14/01/2023,to-read,0
32150534,Samsung Rising: The Inside Story of the South Korean Giant That Set Out to Beat Apple and Conquer Tech,Geoffrey Cain,0,3.7,Currency,416,2020,2020,,14/01/2023,to-read,0
3109,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,0,4.18,The Penguin Press,450,2006,2006,,14/01/2023,to-read,0
25019,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Simon Winchester,0,3.84,Harper Perennial,242,2005,1998,,14/01/2023,to-read,0
32145,Stiff: The Curious Lives of Human Cadavers,Mary Roach,0,4.06,W. W. Norton  Company,303,2004,2003,,14/01/2023,to-read,0
58524608,"Why They Stay: Sex Scandals, Deals, and Hidden Agendas of Eight Political Wives",Anne Michaud,0,4.32,,199,2021,,,14/01/2023,to-read,0
29036,The Great Influenza: The Story of the Deadliest Pandemic in History,John M. Barry,0,3.98,Penguin Books,546,2005,2004,,14/01/2023,to-read,0
25362017,The Girl with Seven Names: A North Korean Defector’s Story,Hyeonseo Lee,0,4.41,William Collins,304,2015,2014,,14/01/2023,to-read,0
29370481,Killing the Rising Sun: How America Vanquished World War II Japan,Bill O'Reilly,0,4.35,Henry Holt and Co.,323,2016,2016,,14/01/2023,to-read,0
1617037,Sneaker Wars: The Enemy Brothers Who Founded Adidas and Puma and the Family Feud That Forever Changed the Business of Sport,Barbara Smit,0,3.9,Ecco,400,2008,2005,,14/01/2023,to-read,0
9755737,The King's Speech: How One Man Saved the British Monarchy,Mark Logue,0,3.69,Quercus ,242,2010,2010,,14/01/2023,to-read,0
55825273,The Comfort Book,Matt Haig,0,4.1,Penguin Life,272,2021,2021,,14/01/2023,to-read,0
59366141,Split Decision: Life Stories,Ice-T,0,4.22,Gallery Books,304,2022,,,14/01/2023,to-read,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,0,4.47,Scribner,400,2016,2016,,14/01/2023,to-read,0
762542,The Four Steps to the Epiphany: Successful Strategies for Startups That Win,Steve Blank,0,3.94,K & S Ranch,281,2005,2003,,14/01/2023,to-read,0
10778139,100 Things Every Designer Needs to Know about People,Susan M. Weinschenk,0,4.1,New Riders Publishing,242,2011,2011,,14/01/2023,to-read,0
840,The Design of Everyday Things,Donald A. Norman,0,4.16,Basic Books,240,2002,1988,,14/01/2023,to-read,0
356896,The Greatest Salesman in the World,Og Mandino,0,4.2,Bantam,128,1983,1968,,14/01/2023,to-read,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,0,4.2,Ecco,392,2015,2015,,14/01/2023,to-read,0
